* time: 19:57:00, sender: Panda, type: message, command: IN, message: Initialized
* time: 19:57:33, sender: , type: ack, command: , message: 2
* time: 19:57:33, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:34, sender: , type: ack, command: , message: 3
* time: 19:57:34, sender: Panda, type: message, command: AR, message: 2322
* time: 19:57:35, sender: , type: ack, command: , message: 4
* time: 19:57:35, sender: Panda, type: message, command: AR, message: 2315
* time: 19:57:36, sender: , type: ack, command: , message: 5
* time: 19:57:36, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:37, sender: , type: ack, command: , message: 6
* time: 19:57:37, sender: Panda, type: message, command: AR, message: 2319
* time: 19:57:38, sender: , type: ack, command: , message: 7
* time: 19:57:38, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:39, sender: , type: ack, command: , message: 8
* time: 19:57:39, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:40, sender: , type: ack, command: , message: 0
* time: 19:57:40, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:41, sender: , type: ack, command: , message: 1
* time: 19:57:41, sender: Panda, type: message, command: AR, message: 2334
* time: 19:57:42, sender: , type: ack, command: , message: 2
* time: 19:57:42, sender: Panda, type: message, command: AR, message: 2315
* time: 19:57:43, sender: , type: ack, command: , message: 3
* time: 19:57:43, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:44, sender: , type: ack, command: , message: 4
* time: 19:57:44, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:45, sender: , type: ack, command: , message: 5
* time: 19:57:45, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:46, sender: , type: ack, command: , message: 6
* time: 19:57:46, sender: Panda, type: message, command: AR, message: 2334
* time: 19:57:47, sender: , type: ack, command: , message: 7
* time: 19:57:47, sender: Panda, type: message, command: AR, message: 2332
* time: 19:57:48, sender: , type: ack, command: , message: 8
* time: 19:57:48, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:49, sender: , type: ack, command: , message: 0
* time: 19:57:49, sender: Panda, type: message, command: AR, message: 2317
* time: 19:57:50, sender: , type: ack, command: , message: 1
* time: 19:57:50, sender: Panda, type: message, command: AR, message: 2322
* time: 19:57:51, sender: , type: ack, command: , message: 2
* time: 19:57:51, sender: Panda, type: message, command: AR, message: 2316
* time: 19:57:52, sender: , type: ack, command: , message: 3
* time: 19:57:52, sender: Panda, type: message, command: AR, message: 2322
* time: 19:57:53, sender: , type: ack, command: , message: 4
* time: 19:57:53, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:54, sender: , type: ack, command: , message: 5
* time: 19:57:54, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:55, sender: , type: ack, command: , message: 6
* time: 19:57:55, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:56, sender: , type: ack, command: , message: 7
* time: 19:57:56, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:57, sender: , type: ack, command: , message: 8
* time: 19:57:57, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:58, sender: , type: ack, command: , message: 0
* time: 19:57:58, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:59, sender: , type: ack, command: , message: 1
* time: 19:57:59, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:00, sender: , type: ack, command: , message: 2
* time: 19:58:00, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:01, sender: , type: ack, command: , message: 3
* time: 19:58:01, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:02, sender: , type: ack, command: , message: 4
* time: 19:58:02, sender: Panda, type: message, command: AR, message: 2320
* time: 19:58:03, sender: , type: ack, command: , message: 5
* time: 19:58:03, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:04, sender: , type: ack, command: , message: 6
* time: 19:58:04, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:05, sender: , type: ack, command: , message: 7
* time: 19:58:05, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:06, sender: , type: ack, command: , message: 8
* time: 19:58:06, sender: Panda, type: message, command: AR, message: 2318
* time: 19:58:07, sender: , type: ack, command: , message: 0
* time: 19:58:07, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:08, sender: , type: ack, command: , message: 1
* time: 19:58:08, sender: Panda, type: message, command: AR, message: 2331
* time: 19:58:09, sender: , type: ack, command: , message: 2
* time: 19:58:09, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:10, sender: , type: ack, command: , message: 3
* time: 19:58:10, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:11, sender: , type: ack, command: , message: 4
* time: 19:58:11, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:12, sender: , type: ack, command: , message: 5
* time: 19:58:12, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:13, sender: , type: ack, command: , message: 6
* time: 19:58:13, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:14, sender: , type: ack, command: , message: 7
* time: 19:58:14, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:15, sender: , type: ack, command: , message: 8
* time: 19:58:15, sender: Panda, type: message, command: AR, message: 2320
* time: 19:58:16, sender: , type: ack, command: , message: 0
* time: 19:58:16, sender: Panda, type: message, command: AR, message: 2320
* time: 19:58:17, sender: , type: ack, command: , message: 1
* time: 19:58:17, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:18, sender: , type: ack, command: , message: 2
* time: 19:58:18, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:19, sender: , type: ack, command: , message: 3
* time: 19:58:19, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:20, sender: , type: ack, command: , message: 4
* time: 19:58:20, sender: Panda, type: message, command: AR, message: 2321
* time: 19:58:21, sender: , type: ack, command: , message: 5
* time: 19:58:21, sender: Panda, type: message, command: AR, message: 2320
* time: 19:58:22, sender: , type: ack, command: , message: 6
* time: 19:58:22, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:23, sender: , type: ack, command: , message: 7
* time: 19:58:23, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:24, sender: , type: ack, command: , message: 8
* time: 19:58:24, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:25, sender: , type: ack, command: , message: 0
* time: 19:58:25, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:26, sender: , type: ack, command: , message: 1
* time: 19:58:26, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:27, sender: , type: ack, command: , message: 2
* time: 19:58:27, sender: Panda, type: message, command: AR, message: 2320
* time: 19:58:28, sender: , type: ack, command: , message: 3
* time: 19:58:28, sender: Panda, type: message, command: AR, message: 2317
* time: 19:58:29, sender: , type: ack, command: , message: 4
* time: 19:58:29, sender: Panda, type: message, command: AR, message: 2320
* time: 19:58:41, sender: , type: ack, command: , message: 1
* time: 19:58:41, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:42, sender: , type: ack, command: , message: 2
* time: 19:58:42, sender: Panda, type: message, command: AR, message: 2317
* time: 19:58:43, sender: , type: ack, command: , message: 3
* time: 19:58:43, sender: Panda, type: message, command: AR, message: 2316
* time: 19:58:44, sender: , type: ack, command: , message: 4
* time: 19:58:44, sender: Panda, type: message, command: AR, message: 2324
* time: 19:58:45, sender: , type: ack, command: , message: 5
* time: 19:58:45, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:46, sender: , type: ack, command: , message: 6
* time: 19:58:46, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:47, sender: , type: ack, command: , message: 7
* time: 19:58:47, sender: Panda, type: message, command: AR, message: 2320
* time: 19:58:48, sender: , type: ack, command: , message: 8
* time: 19:58:48, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:49, sender: , type: ack, command: , message: 0
* time: 19:58:49, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:50, sender: , type: ack, command: , message: 1
* time: 19:58:50, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:51, sender: , type: ack, command: , message: 2
* time: 19:58:51, sender: Panda, type: message, command: AR, message: 2316
* time: 19:58:52, sender: , type: ack, command: , message: 3
* time: 19:58:52, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:53, sender: , type: ack, command: , message: 4
* time: 19:58:53, sender: Panda, type: message, command: AR, message: 2311
* time: 19:58:54, sender: , type: ack, command: , message: 5
* time: 19:58:55, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:55, sender: , type: ack, command: , message: 6
* time: 19:58:56, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:56, sender: , type: ack, command: , message: 7
* time: 19:58:57, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:57, sender: , type: ack, command: , message: 8
* time: 19:58:58, sender: Panda, type: message, command: AR, message: 2323
* time: 19:58:58, sender: , type: ack, command: , message: 0
* time: 19:58:59, sender: Panda, type: message, command: AR, message: 2311
* time: 19:58:59, sender: , type: ack, command: , message: 1
* time: 19:59:00, sender: Panda, type: message, command: AR, message: 2323
* time: 19:59:00, sender: , type: ack, command: , message: 2
* time: 19:59:01, sender: Panda, type: message, command: AR, message: 2318
* time: 19:59:01, sender: , type: ack, command: , message: 3
* time: 19:59:02, sender: Panda, type: message, command: AR, message: 2323
* time: 19:59:02, sender: , type: ack, command: , message: 4
* time: 19:59:03, sender: Panda, type: message, command: AR, message: 2322
* time: 19:59:03, sender: , type: ack, command: , message: 5
* time: 19:59:04, sender: Panda, type: message, command: AR, message: 2323
* time: 19:59:04, sender: , type: ack, command: , message: 6
* time: 19:59:05, sender: Panda, type: message, command: AR, message: 2318
* time: 19:59:05, sender: , type: ack, command: , message: 7
* time: 19:59:06, sender: Panda, type: message, command: AR, message: 2323
* time: 19:59:06, sender: , type: ack, command: , message: 8
* time: 19:59:07, sender: Panda, type: message, command: AR, message: 2323
* time: 19:59:07, sender: , type: ack, command: , message: 0
* time: 19:59:08, sender: Panda, type: message, command: AR, message: 2323
* time: 19:59:08, sender: , type: ack, command: , message: 1
* time: 19:59:09, sender: Panda, type: message, command: AR, message: 2318
* time: 19:59:09, sender: , type: ack, command: , message: 2
* time: 19:59:10, sender: Panda, type: message, command: AR, message: 2317
* time: 19:59:10, sender: , type: ack, command: , message: 3
* time: 19:59:11, sender: Panda, type: message, command: AR, message: 2323
* time: 19:59:11, sender: , type: ack, command: , message: 4
* time: 19:59:12, sender: Panda, type: message, command: AR, message: 2323
* time: 19:59:12, sender: , type: ack, command: , message: 5
* time: 19:59:13, sender: Panda, type: message, command: AR, message: 2323
* time: 19:59:13, sender: , type: ack, command: , message: 6
* time: 19:59:14, sender: Panda, type: message, command: AR, message: 2326
* time: 19:59:14, sender: , type: ack, command: , message: 7
* time: 19:59:15, sender: Panda, type: message, command: AR, message: 2320
* time: 19:59:15, sender: , type: ack, command: , message: 8
* time: 19:59:16, sender: Panda, type: message, command: AR, message: 2323
* time: 19:59:16, sender: , type: ack, command: , message: 0
* time: 19:59:17, sender: Panda, type: message, command: AR, message: 2323
* time: 19:59:17, sender: , type: ack, command: , message: 1
* time: 19:59:18, sender: Panda, type: message, command: AR, message: 2323
* time: 19:59:18, sender: , type: ack, command: , message: 2
* time: 19:59:19, sender: Panda, type: message, command: AR, message: 2323
